year,mun_code,mun_name,cases,date
2016,310620,Belo Horizonte,28.0,2016-10-21
2016,310620,Belo Horizonte,32.0,2016-10-28
2016,230440,Fortaleza,152.0,2016-10-28
2016,355030,São Paulo,53.0,2016-10-28
2016,310620,Belo Horizonte,38.0,2016-11-04
2016,230440,Fortaleza,175.0,2016-11-04
2016,355030,São Paulo,48.0,2016-11-04
2016,230440,Fortaleza,196.0,2016-11-11
2016,355030,São Paulo,72.0,2016-11-11
2016,310620,Belo Horizonte,29.0,2016-11-11
2016,355030,São Paulo,56.0,2016-11-18
2016,230440,Fortaleza,211.0,2016-11-18
2016,310620,Belo Horizonte,40.0,2016-11-18
2016,310620,Belo Horizonte,42.0,2016-11-25
2016,230440,Fortaleza,175.0,2016-11-25
2016,355030,São Paulo,61.0,2016-11-25
2016,355030,São Paulo,69.0,2016-12-02
2016,230440,Fortaleza,202.0,2016-12-02
2016,310620,Belo Horizonte,41.0,2016-12-02
2016,230440,Fortaleza,202.0,2016-12-09
2016,310620,Belo Horizonte,61.0,2016-12-09
2016,355030,São Paulo,52.0,2016-12-09
2016,355030,São Paulo,69.0,2016-12-16
2016,230440,Fortaleza,168.0,2016-12-16
2016,310620,Belo Horizonte,60.0,2016-12-16
2016,355030,São Paulo,81.0,2016-12-23
2016,230440,Fortaleza,115.0,2016-12-23
2016,310620,Belo Horizonte,108.0,2016-12-23
2016,355030,São Paulo,208.0,2016-12-30
2016,230440,Fortaleza,74.0,2016-12-30
2016,310620,Belo Horizonte,530.0,2016-12-30
2016,355030,São Paulo,0.0,2017-01-06
2016,310620,Belo Horizonte,1.0,2017-01-06
2016,230440,Fortaleza,1.0,2017-01-06
2017,355030,São Paulo,19.0,2017-01-08
2017,230440,Fortaleza,208.0,2017-01-08
2017,310620,Belo Horizonte,63.0,2017-01-08
2017,230440,Fortaleza,238.0,2017-01-15
2017,355030,São Paulo,18.0,2017-01-15
2017,310620,Belo Horizonte,74.0,2017-01-15
2017,230440,Fortaleza,385.0,2017-01-22
2017,355030,São Paulo,12.0,2017-01-22
2017,310620,Belo Horizonte,93.0,2017-01-22
2017,230440,Fortaleza,419.0,2017-01-29
2017,355030,São Paulo,8.0,2017-01-29
2017,310620,Belo Horizonte,72.0,2017-01-29
2017,310620,Belo Horizonte,57.0,2017-02-05
2017,355030,São Paulo,17.0,2017-02-05
2017,230440,Fortaleza,555.0,2017-02-05
2017,310620,Belo Horizonte,71.0,2017-02-12
2017,230440,Fortaleza,664.0,2017-02-12
2017,355030,São Paulo,13.0,2017-02-12
2017,230440,Fortaleza,849.0,2017-02-19
2017,355030,São Paulo,15.0,2017-02-19
2017,310620,Belo Horizonte,49.0,2017-02-19
2017,355030,São Paulo,14.0,2017-02-26
2017,230440,Fortaleza,635.0,2017-02-26
2017,310620,Belo Horizonte,53.0,2017-02-26
2017,355030,São Paulo,19.0,2017-03-05
2017,230440,Fortaleza,642.0,2017-03-05
2017,310620,Belo Horizonte,64.0,2017-03-05
2017,310620,Belo Horizonte,60.0,2017-03-12
2017,230440,Fortaleza,826.0,2017-03-12
2017,355030,São Paulo,12.0,2017-03-12
2017,355030,São Paulo,19.0,2017-03-19
2017,230440,Fortaleza,996.0,2017-03-19
2017,310620,Belo Horizonte,65.0,2017-03-19
2017,310620,Belo Horizonte,60.0,2017-03-26
2017,230440,Fortaleza,1145.0,2017-03-26
2017,355030,São Paulo,14.0,2017-03-26
2017,310620,Belo Horizonte,53.0,2017-04-02
2017,230440,Fortaleza,1777.0,2017-04-02
2017,355030,São Paulo,18.0,2017-04-02
2017,355030,São Paulo,36.0,2017-04-09
2017,230440,Fortaleza,2201.0,2017-04-09
2017,310620,Belo Horizonte,38.0,2017-04-09
2017,310620,Belo Horizonte,30.0,2017-04-16
2017,230440,Fortaleza,2571.0,2017-04-16
2017,355030,São Paulo,40.0,2017-04-16
2017,230440,Fortaleza,2036.0,2017-04-23
2017,355030,São Paulo,40.0,2017-04-23
2017,310620,Belo Horizonte,33.0,2017-04-23
2017,310620,Belo Horizonte,30.0,2017-04-30
2017,355030,São Paulo,27.0,2017-04-30
2017,230440,Fortaleza,1916.0,2017-04-30
2017,310620,Belo Horizonte,35.0,2017-05-07
2017,355030,São Paulo,23.0,2017-05-07
2017,230440,Fortaleza,961.0,2017-05-07
2017,355030,São Paulo,26.0,2017-05-14
2017,230440,Fortaleza,898.0,2017-05-14
2017,310620,Belo Horizonte,23.0,2017-05-14
2017,310620,Belo Horizonte,20.0,2017-05-21
2017,230440,Fortaleza,723.0,2017-05-21
2017,355030,São Paulo,17.0,2017-05-21
2017,310620,Belo Horizonte,21.0,2017-05-28
2017,230440,Fortaleza,443.0,2017-05-28
2017,355030,São Paulo,15.0,2017-05-28
2017,355030,São Paulo,18.0,2017-06-04
2017,310620,Belo Horizonte,22.0,2017-06-04
2017,230440,Fortaleza,375.0,2017-06-04
2017,310620,Belo Horizonte,15.0,2017-06-11
2017,230440,Fortaleza,283.0,2017-06-11
2017,355030,São Paulo,12.0,2017-06-11
2017,310620,Belo Horizonte,21.0,2017-06-18
2017,230440,Fortaleza,162.0,2017-06-18
2017,355030,São Paulo,18.0,2017-06-18
2017,355030,São Paulo,17.0,2017-06-25
2017,230440,Fortaleza,136.0,2017-06-25
2017,310620,Belo Horizonte,14.0,2017-06-25
2017,230440,Fortaleza,119.0,2017-07-02
2017,310620,Belo Horizonte,14.0,2017-07-02
2017,355030,São Paulo,13.0,2017-07-02
2017,310620,Belo Horizonte,5.0,2017-07-09
2017,355030,São Paulo,16.0,2017-07-09
2017,230440,Fortaleza,98.0,2017-07-09
2017,355030,São Paulo,13.0,2017-07-16
2017,230440,Fortaleza,98.0,2017-07-16
2017,310620,Belo Horizonte,12.0,2017-07-16
2017,355030,São Paulo,10.0,2017-07-23
2017,230440,Fortaleza,109.0,2017-07-23
2017,310620,Belo Horizonte,5.0,2017-07-23
2017,355030,São Paulo,10.0,2017-07-30
2017,310620,Belo Horizonte,6.0,2017-07-30
2017,230440,Fortaleza,122.0,2017-07-30
